GH,,GHN,,GL,,GLN,,H2O,,N,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.240000000000002,8.20911680911681,1.9200000000000017,5.644444444444439,1.6000000000000014,4.874643874643866,1.9200000000000017,4.875213675213665,1.9200000000000017,2.5675213675213584,1.9200000000000017,1.6700854700854677
6.400000000000002,8.857549857549856,6.720000000000002,6.294017094017093,6.720000000000002,2.319658119658115,6.720000000000002,1.4222222222222243,11.519999999999996,0.40512820512820014,6.720000000000002,1.806837606837604
11.199999999999996,13.481481481481481,11.519999999999996,8.994871794871795,11.519999999999996,12.841025641025642,11.199999999999996,6.173789173789171,17.6,0.41595441595440974,11.839999999999996,1.55954415954416
17.6,14.774928774928775,17.6,9.903133903133902,17.6,6.056980056980059,17.28,5.543589743589749,33.6,0.7008547008546984,17.6,3.3646723646723657
25.28,12.865527065527068,25.28,17.73732193732194,25.28,1.5834757834757838,25.28,1.198860398860404,43.52,2.769800569800566,25.28,0.686039886039886
33.6,12.752136752136753,33.6,30.829059829059833,33.92,1.34245014245014,33.92,1.9834757834757824,3.5199999999999996,-44.0962962962963,34.24,0.9584045584045668
43.199999999999996,9.56410256410257,43.199999999999996,34.17948717948718,43.52,1.1031339031339016,43.199999999999996,1.8717948717948687,6.400000000000002,-43.83475783475785,51.839999999999996,1.2461538461538524
51.839999999999996,9.451282051282053,51.839999999999996,33.04102564102565,51.839999999999996,2.015384615384619,65.91999999999999,0.7584045584045569,8.96,-43.83019943019944,66.23999999999998,0.5025641025640937
66.23999999999998,9.861538461538466,66.23999999999998,20.11794871794872,66.23999999999998,1.0153846153846189,109.12,1.219943019943024,12.159999999999997,-43.69629629629631,87.68,0.5407407407407376
87.35999999999999,9.386324786324789,87.35999999999999,11.822222222222226,3.5199999999999996,-43.96809116809119,3.5199999999999996,-43.83988603988605,16.639999999999993,-43.560113960113966,109.12,0.4507122507122503
109.44,8.784615384615385,109.12,5.578917378917382,5.760000000000002,-43.70769230769233,5.760000000000002,-43.70769230769233,20.800000000000004,-43.55270655270655,3.5199999999999996,-44.0962962962963
6.080000000000002,-43.19430199430201,5.760000000000002,-43.06666666666668,8.64,-43.1897435897436,8.32,-43.190313390313406,26.240000000000002,-43.15840455840457,6.400000000000002,-43.83475783475785
8.32,-42.036467236467246,8.32,-42.67749287749288,11.519999999999996,-42.03076923076924,11.839999999999996,-42.67122507122508,29.759999999999998,-43.15213675213677,8.96,-43.70199430199432
11.839999999999996,-40.74814814814816,12.159999999999997,-41.77321937321939,16.319999999999993,-42.022222222222226,16.319999999999993,-42.53504273504274,39.68,-42.87806267806269,12.159999999999997,-43.69629629629631
16.319999999999993,-39.20170940170941,16.319999999999993,-39.71452991452992,20.160000000000004,-41.88717948717948,20.160000000000004,-42.39999999999999,50.88,-42.72991452991454,16.959999999999994,-43.431339031339036
20.480000000000004,-37.655840455840476,20.160000000000004,-36.11794871794871,25.6,-41.621082621082635,25.28,-42.26267806267808,62.080000000000005,-42.45356125356126,20.800000000000004,-43.16809116809118
25.92,-36.23589743589744,25.92,-31.36410256410258,29.439999999999998,-41.35783475783475,29.439999999999998,-42.127065527065525,88.32,-41.8940170940171,25.6,-43.28774928774931
29.439999999999998,-35.33219373219373,29.439999999999998,-28.28091168091167,40.32,-41.210256410256434,40,-41.85185185185185,111.03999999999999,-41.725356125356114,29.119999999999997,-43.02507122507123
40,-32.4928774928775,40.32,-22.364102564102573,62.4,-40.78632478632478,62.4,-41.683760683760696,123.52000000000001,-41.31851851851853,39.68,-42.749857549857566
50.88,-30.294017094017093,50.88,-19.396581196581202,111.35999999999999,-39.92991452991454,111.03999999999999,-40.57150997150997,135.04,-41.29800569800571,51.52,-42.72877492877494
62.4,-27.581196581196593,62.4,-17.581196581196586,,,,,148.16,-40.8900284900285,62.720000000000006,-42.45242165242166
88,-21.76638176638177,88,-15.099715099715105,,,,,160,-40.61253561253561,88.32,-42.150427350427364
111.35999999999999,-16.596581196581198,111.35999999999999,-13.26324786324787,,,,,,,111.03999999999999,-41.597150997151005
123.52000000000001,-15.54928774928775,123.52000000000001,-12.6005698005698,,,,,,,123.52000000000001,-41.31851851851853
135.04,-14.118518518518513,135.04,-11.810826210826207,,,,,,,135.36,-41.169230769230765
147.84,-12.685470085470094,147.84,-10.890598290598291,,,,,,,147.84,-40.89059829059829
160,-11.638176638176638,160,-10.227920227920222,,,,,,,160,-40.74074074074075
