Total_Viable_Cells,,Pseudomonas_spp,,lactic_acid_bacteria,
X,Y,X,Y,X,Y
0.053870364069410925,2.193075876148349,0.03465464443688315,1.6142565498468855,0.03572643756379712,1.4792106158557328
1.0059288873766592,2.233701939435182,0.9870193943518206,1.6162980605648176,0.9641289554270154,1.5004933650901648
2.0289554270159913,2.3323579448792096,1.987614834977884,1.5412725416808435,2.011730180333447,1.5027390268798904
2.9817795168424635,2.276522626743791,3.03536917318816,1.5242259271861158,2.964248043552229,1.485488261313371
5.004329703980945,2.435199047294997,4.939792446410344,1.566893501190881,5.011679142565498,1.5091697856413742
7.003836338890782,2.4973630486560054,6.915796189179995,1.5904219122150387,6.964486219802655,1.4554780537597818
9.026386526029263,2.6560394692072133,8.958787002381763,2.173579448792104,8.964299081320178,1.4790575025518873
14.015506975161623,7.026862878530113,14.002262674379041,5.69564477713508,14.058838040149714,1.5671486900306224
20.981013950323245,8.372984008166044,20.967004083021436,7.1382272881932645,20.9880571623001,1.4855392990813225
