plate_count_total,,pseudonomads,,brochothrix_thermosphacta,,lactic_acid_bacteria,,enterobacteriaceae,
X,Y,X,Y,X,Y,X,Y,X,Y
1.3659591194967788,6.026005957855835,5.658347860267895,5.6958207112786,3.1280411056956154,5.344657887338009,1.5283189773036838,5.120281092794423,1.3659591194967788,4.8771673074252035
9.402772080940622,6.016875218995298,12.825146978397584,5.827118206114823,10.690053810695645,5.5782582507640734,10.307348431579271,5.346430850163419,9.500187995624742,4.799211059269894
16.87132554006007,6.038274295111354,20.883933454431713,6.014867254539566,18.007844544708746,5.899487284659558,6.480294640415536,4.988708014310456,16.623010463414175,5.182552313720128
25.476398003828194,6.644653314908135,28.8603192507519,6.427761541791998,26.20701736395938,6.266395225325446,18.17020440251565,5.621072749849223,23.041000136723937,5.308774766999362
23.28453992343441,6.151935215568317,29.433919537872498,6.037072381163979,33.61758515957638,6.486715443799889,25.58077219813265,5.771709303423312,32.65365877688237,5.5035941010256995
33.61758515957638,6.970437647303932,36.20736985575604,6.664395693760825,41.184714246650174,6.851188680669493,34.30003181464417,5.791942820845867,39.807777760248996,5.713009078129054
35.94860883237618,7.307155031588962,45.15745701736387,6.9747191637327965,48.587041974295744,7.063827647889893,42.28064328684707,5.8879433581981795,48.543094945114944,5.9538320007384975
37.896927126059495,7.900023214611249,50.016612982354445,8.203431663973356,55.83363241728182,7.348247412822116,50.36964334544302,6.013239472710059,54.588769430596585,6.402337828576036
44.78562395015422,8.044390121033375,50.88571575061519,7.503226417264564,64.44276387749517,7.632666589759366,54.103392932607335,6.448326087992311,54.36396347363325,6.958314495426754
47.394978807765824,8.343336263505204,49.22152720809402,7.149149462218577,70.77479833196605,7.744022697234859,55.79710144927526,6.831930192178731,53.605243368881474,5.891905755799381
55.43179176920967,8.528477634217483,56.938694199480324,8.777912098515404,74.18435534591185,7.486580601699937,60.288261633611455,7.232062002747503,57.90465729580774,7.34540506264768
56.89303048947215,8.829046689982267,53.97055304894718,8.393718952237718,81.00346937380357,7.38566644707949,66.84069408510538,7.449564353162334,65.34734022813382,7.35556421779985
64.929843450916,8.812695945302078,64.929843450916,8.78815156279779,89.43369275993348,7.4676529362875765,68.09586067815144,7.259770645337709,73.65161206248285,7.307645372855955
73.61132055365204,8.737687008851257,72.96665641235973,8.70489785571051,96.06234618539781,7.761183855991012,75.88913385288481,7.340304209807261,79.9806022696198,7.182671554145996
80.84690808234689,8.541567317896533,81.00346937380357,8.616271882328205,100.73019209734741,7.8663741340807585,83.92594681432854,7.323470918978251,88.30966297511611,7.338012141957487
89.04028233524741,8.464451762290667,89.04028233524741,8.476163812033377,,,91.73444122573142,7.447719818055231,96.5204329270673,7.6076115920288
97.07709529669114,8.522601050792705,97.07709529669114,8.47995391314262,,,95.61585657642865,7.702463159775122,101.09550177741312,7.816042578160605
,,101.46081145747871,8.605923286391397,,,,,,
