4.4C,,10.1C,,15.7C,
X,Y,X,Y,X,Y
22.866737176097303,5.086065573770492,21.811739820200927,5.59016393442623,16.266525647805395,6.008196721311475
-2.4976203067160156,5.331967213114754,18.13220518244316,5.811475409836065,19.760973030142793,6.401639344262295
46.987308302485474,5.971311475409837,23.547858276044423,5.823770491803279,21.515600211528266,6.573770491803279
42.44896879957696,6.045081967213115,40.56107879428873,6.315573770491803,38.53992596509784,7.028688524590164
71.34849286092015,6.057377049180328,44.12956107879427,6.463114754098361,41.9714436805923,7.631147540983607
65.90692755155999,6.131147540983607,63.06028556319404,6.586065573770492,61.72395557905867,8.024590163934427
138.81279746166047,6.979508196721312,66.68059227921731,6.561475409836065,64.41142252776308,8.098360655737705
117.02432575356954,7.3483606557377055,135.86991010047592,7.754098360655737,67.0322580645161,8.39344262295082
140.4415653093601,7.5696721311475414,115.96192490745636,7.877049180327869,131.85351665785294,9.094262295081966
163.95134849286086,7.483606557377049,159.18350079323108,8.319672131147541,137.2173453199365,9.278688524590164
161.22686409307238,7.532786885245901,161.82654680063456,8.540983606557377,156.24801692226328,9.069672131147541
185.6620835536752,7.3729508196721305,137.45795875198303,8.479508196721312,178.8582760444209,8.971311475409836
186.4616604970915,7.717213114754099,185.18085668958213,8.971311475409836,84.8006345848757,9.37704918032787
205.41089370703327,7.778688524590164,203.29349550502377,8.811475409836065,113.61131676361708,9.684426229508198
88.07297726070863,7.508196721311475,208.64251718667362,9.045081967213115,,
211.64093072448435,8.086065573770492,228.52829190904282,8.995901639344263,,
231.5230037017451,8.049180327868854,233.9180327868852,9.094262295081966,,
257.57218402961394,8.528688524590164,258.04230565838174,9.967213114754099,,
301.81544156530936,8.577868852459016,,,,
334.1612903225806,9.14344262295082,,,,
