"","spp_order","spp_genus","spp_family","spp_species","spp_class"
"1",NA,NA,NA,NA,NA
"2","Flavobacteriales","Chryseobacterium","Flavobacteriaceae","Chryseobacterium balustinum","Flavobacteriia"
"3","Enterobacterales","Enterobacter","Enterobacteriaceae","Enterobacter sp.","Gammaproteobacteria"
"4","Enterobacterales","Pantoea","Erwiniaceae","Pantoea agglomerans","Gammaproteobacteria"
"5","Bacillales","Bacillus","Bacillaceae","Bacillus pumilus","Bacilli"
"6","Micrococcales","Clavibacter","Microbacteriaceae","Clavibacter michiganensis","Actinobacteria"
"7","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Pseudomonas fluorescens","Gammaproteobacteria"
"8","Xanthomonadales","Stenotrophomonas","Xanthomonadaceae","Stenotrophomonas maltophilia","Gammaproteobacteria"
"9","Enterobacterales","Klebsiella","Enterobacteriaceae","Klebsiella pneumoniae","Gammaproteobacteria"
"10","Enterobacterales","Dickeya","Pectobacteriaceae","Dickeya zeae","Gammaproteobacteria"
"11","Enterobacterales","Pectobacterium","Pectobacteriaceae","Pectobacterium carotovorum","Gammaproteobacteria"
"12","Enterobacterales","Dickeya","Pectobacteriaceae","Dickeya zeae","Gammaproteobacteria"
"13","Enterobacterales","Klebsiella","Enterobacteriaceae","Klebsiella pneumoniae","Gammaproteobacteria"
"14","Bacillales","Bacillus","Bacillaceae","Bacillus pumilus","Bacilli"
"15","Micrococcales","Clavibacter","Microbacteriaceae","Clavibacter michiganensis","Actinobacteria"
"16","Enterobacterales","Escherichia","Enterobacteriaceae","Escherichia coli","Gammaproteobacteria"
"17","Enterobacterales","Salmonella","Enterobacteriaceae","Salmonella enterica","Gammaproteobacteria"
"18","Micrococcales","Cryobacterium","Microbacteriaceae","Cryobacterium psychrophilum","Actinobacteria"
"19","Flavobacteriales","Flavobacterium","Flavobacteriaceae","Flavobacterium xanthum","Flavobacteriia"
"20","Pseudomonadales","Psychrobacter","Moraxellaceae","Psychrobacter urativorans","Gammaproteobacteria"
"21","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Pseudomonas sp.","Gammaproteobacteria"
"22","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Pseudomonas sp.","Gammaproteobacteria"
"23","Bacillales","Brochothrix","Listeriaceae","Brochothrix thermosphacta","Bacilli"
"24","Enterobacterales","Serratia","Yersiniaceae","Serratia marcescens","Gammaproteobacteria"
"25","Micrococcales","Arthrobacter","Micrococcaceae","Arthrobacter sp.","Actinobacteria"
"26","Micrococcales","Paenarthrobacter","Micrococcaceae","Paenarthrobacter aurescens","Actinobacteria"
"27","Micrococcales","Arthrobacter","Micrococcaceae","Arthrobacter citreus","Actinobacteria"
"28","Micrococcales","Arthrobacter","Micrococcaceae","Arthrobacter globiformis","Actinobacteria"
"29","Propionibacteriales","Pimelobacter","Nocardioidaceae","Pimelobacter simplex","Actinobacteria"
"30","Lactobacillales","Lactobacillus","Lactobacillaceae","Lactobacillus plantarum","Bacilli"
"31","Lactobacillales","Weissella","Leuconostocaceae","Weissella viridescens","Bacilli"
"32","Lactobacillales","Lactobacillus","Lactobacillaceae","Lactobacillus sakei","Bacilli"
"33","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Pseudomonas sp.","Gammaproteobacteria"
