GH,,GHN,,GL,,GLN,,H2O,,N,,GHB,,GHNB,,GLB,,GLNB,,H2OB,,NB,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.240000000000002,8.20911680911681,1.9200000000000017,5.644444444444439,1.6000000000000014,4.874643874643866,1.9200000000000017,4.875213675213665,1.9200000000000017,2.5675213675213584,1.9200000000000017,1.6700854700854677,5.759046701130288,0.0483365072252715,2.1631472881801486,0.039357426907135284,3.36178042583019,0.003441105634592212,3.36178042583019,0.021399266270863748,4.560413563480246,0.012420185952727536,3.36178042583019,0.021399266270863748
6.400000000000002,8.857549857549856,6.720000000000002,6.294017094017093,6.720000000000002,2.319658119658115,6.720000000000002,1.4222222222222243,11.519999999999996,0.40512820512820014,6.720000000000002,1.806837606837604,14.748795233505653,0.1111900694522232,8.75562954525541,0.10221098913408788,14.149478664680622,0.10221098913408788,10.553579251730483,0.039357426907135284,10.553579251730483,0.021399266270863748,9.954262682905458,0.021399266270863748
11.199999999999996,13.481481481481481,11.519999999999996,8.994871794871795,11.519999999999996,12.841025641025642,11.199999999999996,6.173789173789171,17.6,0.41595441595440974,11.839999999999996,1.55954415954416,21.341277490580907,0.1740436316791758,13.550162095855597,0.14710639072476717,21.341277490580907,0.15608547104290338,21.341277490580907,0.09323190881595167,15.348111802330678,0.030378346588999072,14.149478664680622,0.030378346588999072
17.6,14.774928774928775,17.6,9.903133903133902,17.6,6.056980056980059,17.28,5.543589743589749,33.6,0.7008547008546984,17.6,3.3646723646723657,29.73170945413125,0.3356670774056232,21.341277490580907,0.25485535454239905,29.73170945413125,0.15608547104290338,14.149478664680622,0.05731558754340771,22.53991062823097,0.039357426907135284,21.341277490580907,0.0483365072252715
25.28,12.865527065527068,25.28,17.73732193732194,25.28,1.5834757834757838,25.28,1.198860398860404,43.52,2.769800569800566,25.28,0.686039886039886,37.52282484885656,0.5870813263134309,29.13239288530623,0.3626043183600318,37.52282484885656,0.1650645513610396,29.73170945413125,0.10221098913408788,29.13239288530623,0.039357426907135284,29.13239288530623,0.05731558754340771
33.6,12.752136752136753,33.6,30.829059829059833,33.92,1.34245014245014,33.92,1.9834757834757824,,,34.24,0.9584045584045668,47.71120651888198,0.9462445390388705,38.12214141768159,0.479332362495799,48.90983965653203,0.18302271199731113,38.12214141768159,0.12914823008849563,38.72145798650661,0.039357426907135284,37.52282484885656,0.05731558754340771
43.199999999999996,9.56410256410257,43.199999999999996,34.17948717948718,43.52,1.1031339031339016,43.199999999999996,1.8717948717948687,,,51.839999999999996,1.2461538461538524,54.90300534478227,1.1707215469922705,48.90983965653203,0.5870813263134309,55.50232191360729,0.20098087263358355,48.90983965653203,0.14710639072476717,49.509156225357046,0.06629466786154303,48.310523087707,0.06629466786154303
51.839999999999996,9.451282051282053,51.839999999999996,33.04102564102565,51.839999999999996,2.015384615384619,65.91999999999999,0.7584045584045569,,,66.23999999999998,0.5025641025640937,77.07771839130815,1.6106964825809333,56.10163848243232,0.6499348885403826,77.07771839130815,0.20995995295171976,54.90300534478227,0.14710639072476717,55.50232191360729,0.07527374817967925,56.10163848243232,0.07527374817967925
66.23999999999998,9.861538461538466,66.23999999999998,20.11794871794872,66.23999999999998,1.0153846153846189,109.12,1.219943019943024,,,87.68,0.5407407407407376,98.05379830018398,1.826194410216198,77.67703496013318,0.8564537358575102,120.8278279155349,0.24587627422426372,77.07771839130815,0.15608547104290338,77.07771839130815,0.08425282849781635,77.07771839130815,0.10221098913408788
87.35999999999999,9.386324786324789,87.35999999999999,11.822222222222226,,,,,,,109.12,0.4507122507122503,120.2285113467099,1.9519015346701014,98.65311486900902,1.0270562619020946,217.91711206518883,0.2907716758149439,119.62919477788486,0.18302271199731113,98.05379830018398,0.10221098913408788,98.05379830018398,0.1111900694522232
109.44,8.784615384615385,109.12,5.578917378917382,,,,,,,,,171.17041969683694,2.149441301669093,120.8278279155349,1.2245960289010869,,,217.3177954963638,0.24587627422426372,120.2285113467099,0.12016914977035942,120.8278279155349,0.12016914977035942
,,,,,,,,,,,,217.3177954963638,2.2751484261229975,171.17041969683694,1.6466128038534773,,,,,172.36905283448698,0.14710639072476717,171.76973626566198,0.15608547104290338
,,,,,,,,,,,,241.88977481818975,2.329022908031813,217.91711206518883,2.0327132575333255,,,,,217.91711206518883,0.1650645513610396,217.3177954963638,0.1740436316791758
,,,,,,,,,,,,265.2631210023658,2.382897389940629,241.88977481818975,2.1045459000784135,,,,,241.88977481818975,0.19200179231544734,241.88977481818975,0.19200179231544734
,,,,,,,,,,,,290.43441689301676,2.4457509521675806,264.6638044335407,2.203315783577909,,,,,264.6638044335407,0.20098087263358355,265.2631210023658,0.20995995295171976
,,,,,,,,,,,,313.8077630771927,2.499625434076397,290.43441689301676,2.311064747395541,,,,,290.43441689301676,0.20995995295171976,290.43441689301676,0.2279181135879913
,,,,,,,,,,,,,,313.2084465083676,2.3918764702587647,,,,,313.8077630771927,0.2279181135879913,314.4070796460177,0.23689719390612662
