,Medium,Nutrient Content,Citation
1,TSB,high,
2,ESAW,medium,
3,GH,medium,
4,GHN,medium,
5,GL,high,
6,GLN,high,
7,H2O,low,
8,N,low,
9,GHB,medium,
10,GHNB,medium,
11,GLB,high,
12,GLNB,high,
13,H2OB,low,
14,NB,low,
15,Raw Chicken Breast,high,
16,Salted Chicken Breast,medium,
17,Cooked Chicken Breast,medium,
18,Vacuum Beef Striploins,high,
19,C02 Beef Striploins,medium,
20,frankfurters,high,
21,Peptone,high,
22,Eruca_satica L.,medium,
23,Glucose_NH4,high,
24,Glucose,high,
25,NH4,low,
26,Control,low,
27,beef,high,
28,pork,high,
29,soybeans,medium,
30,Pasteurised Skim Milk,medium,
31,UHT Skim Milk,medium,
32,Pasteurised Full-fat Milk,medium,
33,UHT Full-fat Milk,medium,
34,UHT Double Cream,medium,
35,Pasteurised Double Cream,medium,
36,TGE agar,high,
37,seawater,low,
38,MRS broth,high,
39,Z8,high,
40,APT Broth,high,
41,agar,medium,
42,tryptone soya agar/broth,medium,
43,MRS,high,
44,10% LB broth,low,
