"","Species","X","Y"
"1","0","0","0"
"3","RB_2","47.407332210391246","0.020320740339688115"
"4","RB_2","95.45509234193591","0.1924905753073034"
"5","RB_2","144.52114540095053","0.7473818905532479"
"6","RB_2","171.31008241592983","2.513728468587698"
"7","RB_2","221.55108885279438","3.844089013214621"
"8","RB_2","271.3847781186711","4.905620224989471"
"9","RB_2","319.91818564639357","5.398317341434557"
"10","RB_2","392.8122932082056","5.7653727766748855"
"11","RB_2","465.8787272654357","6.246163698891093"
"12","RB_2","561.7235908079169","6.135718081373195"
"13","RB_2","633.5210752170689","6.068354087709796"
"14","RB_2","",""
"15","RB_2","",""
"31","RB_4","71.53304156891059","0.3182889169624392"
"41","RB_4","146.00941967956047","1.7296429144358214"
"51","RB_4","223.00803104132834","5.0950227094988865"
"61","RB_4","297.2494184764083","6.061931009244218"
"71","RB_4","370.1121939481442","6.69765911688624"
"81","RB_4","443.27262427560197","7.2404875774529245"
"91","RB_4","514.9604463694881","7.100746455713968"
"101","RB_4","",""
"111","RB_4","",""
"121","RB_4","",""
"131","RB_4","",""
"141","RB_4","",""
"151","RB_4","",""
"32","RB_7","-0.8910846417613811","-0.027930678377350304"
"42","RB_7","96.6300457197859","0.6786079528364297"
"52","RB_7","122.21269726683917","1.6488061220397423"
"62","RB_7","151.1165503619484","3.0748862018488436"
"72","RB_7","176.8871944494576","4.1691594477531115"
"82","RB_7","201.87453628506702","4.7464532074033965"
"92","RB_7","225.0759489863443","5.591792997653852"
"102","RB_7","251.28524233491757","5.818167348452946"
"112","RB_7","274.1890001804728","6.467054933926887"
"122","RB_7","299.6463233672222","6.486480829774006"
"132","RB_7","324.64933124786955","5.9167067717419615"
"142","RB_7","",""
"152","RB_7","",""
"33","RB_10","9.636497623774318","-0.024170827568230635"
"43","RB_10","21.072710501513995","0.0005815235918085193"
"53","RB_10","31.600292767049694","0.0043413744009281885"
"63","RB_10","49.24025947983722","1.519404590025868"
"73","RB_10","62.63472798732684","2.257901953117166"
"83","RB_10","76.79683270167843","3.792391064589224"
"93","RB_10","90.41062583970009","4.964994535683491"
"103","RB_10","103.52310553650568","5.228027431871504"
"113","RB_10","116.1969359722473","6.06960737131284"
"123","RB_10","127.44515630953103","6.548988349475627"
"133","RB_10","164.05670356333601","7.275109536986906"
"143","RB_10","176.76186608915364","7.558664952174698"
"153","RB_10","204.1774449056529","7.423780304397521"
"34","RB_15","7.443251318454401","0.2643977220317222"
"44","RB_15","21.025712366399972","1.4163220136758294"
"54","RB_15","26.97880948083983","2.162495738835748"
"64","RB_15","33.16689727084966","2.4850596061681607"
"74","RB_15","38.775341394453505","3.003762357376326"
"84","RB_15","49.00526880426719","3.968477410816339"
"94","RB_15","58.70255068278891","5.7390538210110495"
"104","RB_15","76.06052858489244","6.199948866028997"
"114","RB_15","85.42882351761617","7.464042040145182"
"124","RB_15","106.96963544486559","8.370792726944597"
"134","RB_15","111.95143776694943","8.475911889149572"
"144","RB_15","127.46082235456899","8.58479090216367"
"154","RB_15","",""
"35","RB_20","5.892312859692396","0.68753759850809"
"45","RB_20","12.832370811526232","1.5064017726443275"
"55","RB_20","20.414736609917995","2.459837273656981"
"65","RB_20","29.12505765104575","4.157723234875374"
"75","RB_20","37.41239547614751","5.865792125368466"
"85","RB_20","45.07309149972929","6.581573723154666"
"95","RB_20","52.38913453247511","7.359236198840964"
"105","RB_20","59.09420180873889","8.023006527101007"
"115","RB_20","65.7836030399647","8.387085413784115"
"125","RB_20","",""
"135","RB_20","",""
"145","RB_20","",""
"155","RB_20","",""
"36","SB_2","24.743409954677574","0.1604068857589951"
"46","SB_2","49.113113021563706","0.18974960876369096"
"56","SB_2","148.1606812592728","0.6396713615023337"
"66","SB_2","173.5846899579294","1.598200312989018"
"76","SB_2","224.22946771538324","3.202269170578994"
"86","SB_2","274.7662744141617","4.640062597809035"
"96","SB_2","323.89310611141605","5.2953834115805485"
"106","SB_2","398.4884051785461","5.588810641627479"
"116","SB_2","472.87411336707123","5.559467918622783"
"126","SB_2","572.150326199622","5.667057902973319"
"136","SB_2","646.7392740280064","5.950704225352032"
"146","SB_2","",""
"156","SB_2","",""
"37","SB_4","73.3621425522834","0.03325508607198202"
"47","SB_4","148.28135479543926","0.8255086071987314"
"57","SB_4","224.39459992276892","3.45657276995302"
"67","SB_4","298.85652297624137","4.933489827855979"
"77","SB_4","373.7122228319413","4.9334898278559685"
"87","SB_4","448.23765827286957","5.119327073552366"
"97","SB_4","522.3248582403512","4.630281690140773"
"107","SB_4","",""
"117","SB_4","",""
"127","SB_4","",""
"137","SB_4","",""
"147","SB_4","",""
"157","SB_4","",""
"38","SB_7","-1.0426193524785106","0.03325508607198557"
"48","SB_7","73.55267971465155","0.3266823161189265"
"58","SB_7","98.47494055240533","0.5125195618153242"
"68","SB_7","123.79097819238665","1.3047730829420736"
"78","SB_7","151.9777757453814","2.3513302034428527"
"88","SB_7","177.81461496250233","3.2511737089201596"
"98","SB_7","203.2449748999045","4.219483568075077"
"108","SB_7","226.21740544275764","4.874804381846598"
"118","SB_7","252.67031481820214","5.334507042253474"
"128","SB_7","275.7126089872569","5.402973395931095"
"138","SB_7","301.44782838444814","5.45187793427225"
"148","SB_7","329.25355161270653","5.217136150234687"
"158","SB_7","",""
"39","SB_10","10.237180659715904","0.04303599374021516"
"49","SB_10","23.765319187854416","0.04303599374021516"
"59","SB_10","36.60752393146761","0.3755868544600851"
"69","SB_10","49.46878239131759","0.7374804381846545"
"79","SB_10","62.196664837509914","2.2828638497652456"
"89","SB_10","75.2675141759649","2.9675273865414518"
"99","SB_10","88.57971058675288","4.02386541471046"
"109","SB_10","101.14881206430506","4.630281690140816"
"119","SB_10","114.19425644777762","5.2758215962441"
"129","SB_10","124.8198788691747","5.667057902973362"
"139","SB_10","161.9238156209987","5.862676056337991"
"149","SB_10","174.37224356238443","6.283255086071943"
"159","SB_10","202.5653923541248","5.950704225352071"
"310","SB_15","5.8548259252484485","0.2386541471048531"
"410","SB_15","20.729427067455234","0.9233176838810557"
"510","SB_15","25.772310631465544","1.744913928012508"
"610","SB_15","31.456669308782025","2.165492957746469"
"710","SB_15","36.7345487063797","2.654538341158048"
"810","SB_15","46.699642298233854","3.4174491392801087"
"910","SB_15","54.26396764424938","3.9553990610328427"
"1010","SB_15","72.54918399284601","5.031298904538318"
"1110","SB_15","80.1452655325895","5.618153364632207"
"1210","SB_15","100.97732861817376","6.449530516431887"
"1310","SB_15","107.03641038148085","6.752738654147068"
"1410","SB_15","122.97166839420366","6.987480438184624"
"1510","SB_15","",""
"311","SB_20","12.269577058309451","0.3951486697965514"
"411","SB_20","18.322307582871005","1.3830203442879423"
"511","SB_20","24.83867853586166","2.390453834115796"
"611","SB_20","32.37759892689475","3.58372456964004"
"711","SB_20","39.40842021827943","4.688967136150211"
"811","SB_20","45.797766396358","5.50078247261343"
"911","SB_20","52.180761335690946","6.302816901408418"
"1011","SB_20","59.5481982805927","6.537558685445978"
"1111","SB_20","",""
"1211","SB_20","",""
"1311","SB_20","",""
"1411","SB_20","",""
"1511","SB_20","",""
"312","CB_2","48.23232323232324","0.19059829059829525"
"412","CB_2","145.1839826839827","0.6820512820512832"
"512","CB_2","169.98556998556987","1.0346153846153854"
"612","CB_2","217.78499278499274","2.049572649572646"
"712","CB_2","266.03535353535347","3.588034188034179"
"812","CB_2","314.2857142857141","4.015384615384605"
"912","CB_2","387.3376623376622","6.237606837606819"
"1012","CB_2","459.93867243867226","7.20982905982904"
"1112","CB_2","556.8903318903317","7.295299145299126"
"1212","CB_2","629.4913419913418","7.850854700854676"
"1312","CB_2","",""
"1412","CB_2","",""
"1512","CB_2","",""
"313","CB_4","217.78499278499274","2.98974358974359"
"413","CB_4","290.38600288600276","5.137179487179466"
"513","CB_4","362.98701298701303","6.739743589743565"
"613","CB_4","435.1370851370848","7.145726495726468"
"713","CB_4","508.1890331890331","6.7504273504273336"
"813","CB_4","580.7900432900431","6.590170940170921"
"913","CB_4","",""
"1013","CB_4","",""
"1113","CB_4","",""
"1213","CB_4","",""
"1313","CB_4","",""
"1413","CB_4","",""
"1513","CB_4","",""
"314","CB_7","0.4329004329004533","-0.04444444444444429"
"414","CB_7","23.43073593073595","-0.012393162393159685"
"514","CB_7","72.58297258297256","0.008974358974356278"
"614","CB_7","96.482683982684","-0.0017094017093981506"
"714","CB_7","120.83333333333334","0.17991452991453372"
"814","CB_7","147.8896103896104","1.333760683760687"
"914","CB_7","172.2402597402597","2.7974358974358964"
"1014","CB_7","196.13997113997104","4.19700854700854"
"1114","CB_7","218.68686868686856","4.934188034188015"
"1214","CB_7","244.39033189033168","5.756837606837589"
"1314","CB_7","266.93722943722923","6.013247863247841"
"1414","CB_7","291.7388167388166","6.29102564102563"
"1514","CB_7","318.3441558441557","6.814529914529896"
"315","CB_10","36.056998556998565","-0.001709401709405256"
"415","CB_10","47.78138528138524","2.273931623931624"
"515","CB_10","59.95670995670989","2.669230769230758"
"615","CB_10","72.58297258297247","3.609401709401702"
"715","CB_10","84.75829725829712","5.137179487179477"
"815","CB_10","96.93362193362174","5.74615384615382"
"915","CB_10","108.65800865800847","6.590170940170928"
"1015","CB_10","118.57864357864341","7.0388888888888665"
"1115","CB_10","155.1046176046174","7.498290598290573"
"1215","CB_10","167.27994227994205","8.160683760683739"
"1315","CB_10","194.3362193362191","8.053846153846127"
"1415","CB_10","",""
"1515","CB_10","",""
"316","CB_15","6.746031746031747","0.08376068376067991"
"416","CB_15","19.823232323232276","1.1948717948717942"
"516","CB_15","24.783549783549745","2.199145299145293"
"616","CB_15","29.743867243867157","2.9470085470085436"
"716","CB_15","35.15512265512254","3.7055555555555415"
"816","CB_15","44.62481962481951","4.902136752136737"
"916","CB_15","51.388888888888715","6.205555555555545"
"1016","CB_15","68.52453102453083","6.899999999999984"
"1116","CB_15","75.73953823953804","7.391452991452969"
"1216","CB_15","95.58080808080786","8.160683760683732"
"1316","CB_15","100.09018759018736","8.705555555555538"
"1416","CB_15","115.4220779220777","8.726923076923054"
"1516","CB_15","",""
"317","CB_20","6.746031746031747","0.23333333333333428"
"417","CB_20","11.706349206349188","0.617948717948714"
"517","CB_20","17.56854256854254","0.9170940170940014"
"617","CB_20","23.430735930735835","3.0111111111110986"
"717","CB_20","29.74386724386713","4.870085470085453"
"817","CB_20","36.05699855699842","5.532478632478611"
"917","CB_20","42.370129870129716","6.793162393162376"
"1017","CB_20","48.23232323232304","7.359401709401681"
"1117","CB_20","54.545454545454305","7.936324786324761"
"1217","CB_20","",""
"1317","CB_20","",""
"1417","CB_20","",""
"1517","CB_20","",""
